run_ts_utc,target_close_date_utc,symbol,forecast_close,h1_rmse,h1_mse,h1_mae,h1_mape,h1_smape,h1_r²,h1_explained_variance,h1_gamma_deviance,h1_poisson_deviance,run_tag
2025-10-11T10:23:55,2025-10-12,BTCUSDT,110776.1953125,2132.286580248098,4546646.060306127,1555.1977738360963,0.0166109535525117,0.0165923484299258,0.9834370984813672,0.9834375293138936,0.0005265139867563,48.24998068970712,20251011_101934
2025-10-12T02:07:05,2025-10-13,BTCUSDT,109260.546875,2183.428700824017,4767360.891582055,1619.0819933832906,0.0172491018351475,0.0172301690074793,0.9824453524632448,0.9824520306870947,0.0005502817248698,50.51017508425031,20251012_020305
2025-10-13T02:12:21,2025-10-14,BTCUSDT,115322.84375,2138.348998471101,4572536.439262361,1553.7409813456632,0.0165053506940821,0.0164849362859974,0.98298847735821,0.983008840439449,0.000523378228326,48.27049457908885,20251013_020627
2025-10-14T02:06:04,2025-10-15,BTCUSDT,114149.0390625,2128.7716668512385,4531668.8095886,1536.598176419005,0.0162580394784782,0.0162461144900908,0.9829513048295112,0.9829567290180298,0.0005166253428666,47.765866305490505,20251014_015925
2025-10-15T02:08:47,2025-10-16,BTCUSDT,112797.2578125,2139.943874465353,4579359.785861789,1554.8075438456635,0.0164634320750143,0.0164237091913797,0.982588214847932,0.9827260813546956,0.0005212605759122,48.24248282053735,20251015_020224
2025-10-16T02:06:05,2025-10-17,BTCUSDT,110498.7578125,2171.348986890988,4714756.422872516,1598.7717012563612,0.0169103169834748,0.0168900438955799,0.9820597758989223,0.982074699217858,0.0005364324003629,49.62990264092703,20251016_020103
2025-10-17T02:05:33,2025-10-18,BTCUSDT,108506.4140625,2167.833814754857,4699503.448394598,1590.429794847328,0.0167815141185606,0.016753829883341,0.9819181537526492,0.9820044738563772,0.0005323413566409,49.37394161747432,20251017_020009
2025-10-18T02:00:54,2025-10-19,BTCUSDT,106962.078125,2139.2516665275903,4576397.692741073,1551.7705208333334,0.0163427387358076,0.0163226723689013,0.9821996091279962,0.982236428155708,0.0005176412289455,48.06177314343207,20251018_015453
2025-10-19T02:24:08,2025-10-20,BTCUSDT,106775.921875,2135.066296398201,4558508.090015531,1542.988031965649,0.0162097963708404,0.016204458916884,0.9820774181173688,0.982079447288231,0.0005157928868262,47.89509701104296,20251019_021850
2025-10-20T02:15:51,2025-10-21,BTCUSDT,107778.9140625,2135.14381189489,4558839.097473041,1543.3216356552164,0.0161825180855753,0.0161879163316915,0.9818856744585878,0.9818937115859366,0.000515165009083,47.8679014415,20251020_020951
2025-10-21T02:09:14,2025-10-22,BTCUSDT,109756.3359375,2134.892347191952,4557765.334098761,1552.833130948604,0.0163205126619463,0.016307158381923,0.981874174205264,0.9818808334557152,0.0005161214003697,47.89712531933296,20251021_020312
2025-10-22T02:13:01,2025-10-23,BTCUSDT,108437.0625,2134.3012899620007,4555241.996333461,1549.7727950507613,0.0162560112825475,0.016249954759443,0.9816890607290244,0.981689645120744,0.0005146345545884,47.82077402945731,20251022_020654
2025-10-23T02:08:19,2025-10-24,BTCUSDT,108052.6640625,2143.586328826135,4594962.349130306,1561.6210493337562,0.0163721007616362,0.0163652401505532,0.981320312914399,0.9813203158410464,0.000518695427087,48.21892039076831,20251023_020154
2025-10-24T02:03:28,2025-10-25,BTCUSDT,110685.5859375,2142.175353478019,4588915.245048676,1558.7360608343909,0.0163405530300271,0.016321576212405,0.9811524410820416,0.981198157681079,0.0005173920513425,48.12313985497045,20251024_015747
2025-10-25T02:05:37,2025-10-26,BTCUSDT,110972.1171875,2147.285107783204,4610833.334107524,1574.6953811072333,0.0165257272001868,0.0165038352897864,0.9808520675766856,0.9808608733562174,0.0005213523460264,48.41470552670752,20251025_015944
2025-10-26T02:15:01,2025-10-27,BTCUSDT,111195.1484375,2154.3508562808915,4641227.611958211,1569.555455300633,0.0163494126538724,0.0163798857329384,0.9807138575217892,0.9809443813898928,0.0005215310307635,48.596023091056814,20251026_020903
2025-10-27T02:25:44,2025-10-28,BTCUSDT,115100.453125,2142.680004451548,4591077.601476487,1560.061268987342,0.0162828384588197,0.0162756914651891,0.98075466552333,0.9807547946289916,0.000514946729227,48.03767266299791,20251027_021908
2025-10-28T02:09:49,2025-10-29,BTCUSDT,114235.3515625,2142.1204345287874,4588679.956025802,1556.7647828322781,0.01622988187539431,0.016229970645262905,0.9805968615531795,0.9805995375277798,0.0005144023923985423,47.99718554644607,20251028_020243
